Company Name,Location,NAICS,Business Description,Jobs Lost,Type,Month Announced,Month Closing / Layoff
Liebherr Mining Equipment Newport News Co.*,Newport News,333120,N.A. HQ; manufactures construction and mining equipment,65,Reduction,11/1/2013 12:00:00 AM,11/1/2013 12:00:00 AM
Caterpillar Global Mining,Pulaski County,333131,Underground mining equipment,240,Closing,11/1/2013 12:00:00 AM,6/1/2014 12:00:00 AM
Georgia-Pacific Corp.,Greensville County,321219,Oriented strand board,79,Closing,10/1/2013 12:00:00 AM,11/1/2013 12:00:00 AM
Virginian-Pilot,Norfolk,511110,Newspaper,32,Reduction,10/1/2013 12:00:00 AM,12/1/2013 12:00:00 AM
SunTrust Banks Inc,Richmond City,522292,Mortgage Banking,100,Reduction,10/1/2013 12:00:00 AM,12/13/2013 12:00:00 AM
BrownGreer PLC,Richmond City,541110,Law office,64,Reduction,10/1/2013 12:00:00 AM,10/1/2013 12:00:00 AM
CraftMaster Manufacturing,Montgomery County,321911,Door and window manufacturing,109,Closing,10/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM
Alcoa Howmet,Hampton,331512,Investment casting,70,Reduction,10/1/2013 12:00:00 AM,11/1/2013 12:00:00 AM
"Mitsubishi Nuclear Energy Systems, Inc",Arlington County,221113,Clean air nuclear energy generating stations,15,Reduction,10/1/2013 12:00:00 AM,12/1/2013 12:00:00 AM
StellarOne Bank,Montgomery County,521110,Banking,90,Closing,10/1/2013 12:00:00 AM,5/1/2014 12:00:00 AM
Grede,Radford,331511,Cast-metal automotive components,264,Closing,9/1/2013 12:00:00 AM,12/1/2013 12:00:00 AM
Minova USA Inc.,Buchanan County,332722,"Manufactures chemical-based consumables, steel strata support systems, associated equipment",65,Reduction,9/1/2013 12:00:00 AM,12/1/2013 12:00:00 AM
Fluor Corporation,Chesterfield County,541330,Engineering services,184,Reduction,9/1/2013 12:00:00 AM,10/1/2013 12:00:00 AM
Bostwick Laboratories,Henrico County,551114,HQ; Pathology reference laboratory,34,Reduction,9/1/2013 12:00:00 AM,11/1/2013 12:00:00 AM
"Northrop Grumman, Information Systems, Intelligence Systems Division",Fairfax County,541512,"Information systems, intelligence systems; defense contractor",52,Reduction,9/1/2013 12:00:00 AM,11/1/2013 12:00:00 AM
Bank of America,Henrico County,522292,Mortgage Banking,40,Reduction,9/1/2013 12:00:00 AM,9/1/2013 12:00:00 AM
Wells Fargo,Virginia Beach,522292,Mortgage Banking,15,Reduction,9/1/2013 12:00:00 AM,9/1/2013 12:00:00 AM
Alcoa Howmet,Hampton,331512,Investment casting,70,Reduction,8/1/2013 12:00:00 AM,9/1/2013 12:00:00 AM
"Boehringer Ingelheim Chemicals, Inc.*",Petersburg,325412,Pharmaceuticals,240,Closing,8/1/2013 12:00:00 AM,12/1/2014 12:00:00 AM
"Genworth Financial, Inc.",Henrico County,524113,"HQ, life and long-term care insurance",75,Reduction,6/1/2013 12:00:00 AM,6/1/2013 12:00:00 AM
"Genworth Financial, Inc.",Lynchburg,524113,Life and long-term care insurance,39,Reduction,6/1/2013 12:00:00 AM,6/1/2013 12:00:00 AM
Capital One Financial Corp.,Goochland County,522210,Credit card and financial services,16,Reduction,6/1/2013 12:00:00 AM,8/1/2013 12:00:00 AM
Schmitt E.G. Inc.,Henrico County,323111,"High-security printing, RFID tags and specialty ink printing",87,Reduction,6/1/2013 12:00:00 AM,9/1/2013 12:00:00 AM
Shenandoah's Pride,Fairfax County,311511,Milk production,110,Reduction,6/1/2013 12:00:00 AM,8/1/2013 12:00:00 AM
JPMorgan Chase & Co.,Fairfax County,522292,Mortgage banking services,84,Reduction,6/1/2013 12:00:00 AM,7/1/2013 12:00:00 AM
Comcast,Prince William County,561422,Call center,159,Reduction,5/1/2013 12:00:00 AM,5/1/2013 12:00:00 AM
CMA-CGM America Inc.*,Norfolk,483111,North American HQ; Shipping line,35,Reduction,5/1/2013 12:00:00 AM,8/1/2013 12:00:00 AM
Comcast,Henrico County,561422,Call center,53,Reduction,5/1/2013 12:00:00 AM,9/1/2013 12:00:00 AM
"Chenega Integrated Systems, LLC",Winchester,561612,Security service provider,55,Reduction,5/1/2013 12:00:00 AM,7/1/2013 12:00:00 AM
Liberty Medical Supply,Salem,561422,Call center; diabetes products supplier,18,Reduction,5/1/2013 12:00:00 AM,7/1/2013 12:00:00 AM
Bechtel Corp.,Fairfax County,541330,"Infrastructure, engineering, and related services",117,Reduction,5/1/2013 12:00:00 AM,7/1/2013 12:00:00 AM
Northrop Grumman Technical Services,Virginia Beach,561210,"Provides base operations and infrastructure support, training and simulation",52,Reduction,5/1/2013 12:00:00 AM,7/1/2013 12:00:00 AM
"Northrop Grumman, Information Systems, Intelligence Systems Division",Fairfax County,541512,"Information systems, intelligence systems; defense contractor",10,Reduction,4/1/2013 12:00:00 AM,5/1/2013 12:00:00 AM
Akima/DTSV,Alexandria,561210,"Electronic imaging, business process management",324,Reduction,4/1/2013 12:00:00 AM,6/1/2013 12:00:00 AM
ITT Exelis,Roanoke County,333314,Manufactures night-vision enhancing equipment,70,Reduction,3/1/2013 12:00:00 AM,4/1/2013 12:00:00 AM
SAIC,Fairfax County,541512,"IT consulting, research and engineering, defense contractor",150,Reduction,3/1/2013 12:00:00 AM,5/1/2013 12:00:00 AM
Biomass Energy LLC,Louisa County,321113,Wood-pellet manufacturing,40,Closing,3/1/2013 12:00:00 AM,3/1/2013 12:00:00 AM
AGI-Shorewood*,Danville,322212,Produces boxes and cartons for tobacco products and chewing gum,30,Reduction,3/1/2013 12:00:00 AM,3/1/2013 12:00:00 AM
The Examiner,Fairfax County,511110,Newspaper,65,Reduction,3/1/2013 12:00:00 AM,6/1/2013 12:00:00 AM
Rosetta Stone Inc.,Harrisonburg,541511,Language learning software,70,Reduction,3/1/2013 12:00:00 AM,3/1/2013 12:00:00 AM
Valley Proteins,Southampton County,311119,Collection and recycling of inedible animal by-products,61,Closing,3/1/2013 12:00:00 AM,9/1/2013 12:00:00 AM
NASSCO-Norfolk,Norfolk,336611,"Ship design, repair, building, and maintenance",51,Reduction,3/1/2013 12:00:00 AM,5/1/2013 12:00:00 AM
"OMNISEC International Investigations, Inc. (OSIII)",Fairfax County,561611,Background investigative service contractor,101,Reduction,3/1/2013 12:00:00 AM,5/1/2013 12:00:00 AM
Advanced Federal Services Corp.,Newport News,561210,"Public works, facility O&M, logistics, administrative services",72,Reduction,3/1/2013 12:00:00 AM,4/1/2013 12:00:00 AM
Dominion Corp.,Buchanan County,212112,"Metallurgical coal mine, coke operations",90,Reduction,2/1/2013 12:00:00 AM,2/1/2013 12:00:00 AM
Alpha Natural Resources (Mill Branch Coal Corp.),Wise County,212112,Coal mining,102,Closing,2/1/2013 12:00:00 AM,4/1/2013 12:00:00 AM
Alpha Natural Resources (Paramont Coal Co.),Dickenson County,212112,Coal mining,84,Closing,2/1/2013 12:00:00 AM,4/1/2013 12:00:00 AM
Peebles Inc.,Mecklenburg County,551114,Corporate office operations; clothing and home furnishings retailer,180,Closing,2/1/2013 12:00:00 AM,6/1/2013 12:00:00 AM
Advanced Federal Services Corp.,Prince George County,561210,"Public works, facility O&M, logistics, administrative services",96,Reduction,2/1/2013 12:00:00 AM,3/1/2013 12:00:00 AM
"SunCoke Energy, Inc. (Jewell Coal Mine)",Buchanan County,212111,Bituminous coal and coke,51,Closing,2/1/2013 12:00:00 AM,2/1/2013 12:00:00 AM
Cobham Composite Products*,Suffolk,336413,Composite parts for military aircraft and ground vehicles,56,Closing,1/1/2013 12:00:00 AM,1/1/2013 12:00:00 AM
Home Care Industries,Mecklenburg County,335212,Floor care accessories manufacturing and distribution,113,Closing,1/1/2013 12:00:00 AM,1/1/2013 12:00:00 AM
Liberty Medical Supply,Salem,561422,Call center; diabetes products supplier,186,Reduction,1/1/2013 12:00:00 AM,2/1/2013 12:00:00 AM
"International Veneer Company, Inc.",Mecklenburg County,321211,Hardwood veneer,100,Reduction,1/1/2013 12:00:00 AM,3/1/2013 12:00:00 AM
Serco*,Fairfax County,551114,North American HQ; Provides services to the federal government,82,Reduction,1/1/2013 12:00:00 AM,4/1/2013 12:00:00 AM
Gear World North America LLC*,Virginia Beach,336350,N.A. HQ; Manufactures gears and axles for earth-moving equipment,70,Closing,1/1/2013 12:00:00 AM,1/1/2013 12:00:00 AM
General Dynamics Information Technology,Charlottesville,541512,"IT and engineering services, government contractor",84,Reduction,12/1/2012 12:00:00 AM,2/1/2013 12:00:00 AM
Mundy Support Services,Giles County,561790,Provides maintenance and operations support,124,Reduction,12/1/2012 12:00:00 AM,1/1/2013 12:00:00 AM
Allianz Global Assistance USA*,Henrico County,524292,"Travel insurance, international healthcare, and assistance products",139,Reduction,11/1/2012 12:00:00 AM,1/1/2013 12:00:00 AM
SAIC,Albemarle County,541512,"IT consulting, research and engineering, defense contractor",80,Reduction,11/1/2012 12:00:00 AM,12/1/2012 12:00:00 AM
"Merillat Industries, Inc.",Smyth County,337110,Manufactures kitchen cabinet panels,280,Closing,11/1/2012 12:00:00 AM,1/1/2013 12:00:00 AM
Manassas News & Messenger,Manassas,511110,Newspaper,0,Closing,11/1/2012 12:00:00 AM,12/1/2012 12:00:00 AM
Volvo Trucks North America*,Pulaski County,336120,Heavy trucks,300,Reduction,11/1/2012 12:00:00 AM,1/1/2013 12:00:00 AM
Kurz-Kasch,Mecklenburg County,334416,"Electrical coils for the aerospace, automotive and appliance industries",59,Closing,10/1/2012 12:00:00 AM,12/1/2012 12:00:00 AM
"E.I. DuPont de Nemours & Co., Inc.",Chesterfield County,325211,Synthetic fibers,64,Reduction,10/1/2012 12:00:00 AM,12/1/2012 12:00:00 AM
SRA International Inc.,Arlington County,541512,"IT consulting, defense contractor",222,Reduction,10/1/2012 12:00:00 AM,1/1/2013 12:00:00 AM
Henkel-Harris,Winchester,337122,"High-end 18th and 19th century case goods, furniture",122,Closing,10/1/2012 12:00:00 AM,12/1/2012 12:00:00 AM
"BAE Systems, Inc.*",Newport News,541512,Technology solutions and services; defense contractor,77,Reduction,10/1/2012 12:00:00 AM,10/1/2012 12:00:00 AM
Wheeling Pittsburgh Steel Corp.,Greensville County,332322,Industrial steel processing,15,Closing,10/1/2012 12:00:00 AM,12/1/2012 12:00:00 AM
Boehringer Ingelheim Chemicals Inc.*,Petersburg,325412,Pharmaceuticals,100,Reduction,9/1/2012 12:00:00 AM,6/1/2013 12:00:00 AM
"Money Mailer, LLC",Franklin City,541860,Direct mail advertising services,72,Closing,9/1/2012 12:00:00 AM,3/1/2013 12:00:00 AM
Alpha Natural Resources,Wise County,212112,Coal mining,110,Reduction,9/1/2012 12:00:00 AM,11/1/2012 12:00:00 AM
URS Corporation,Virginia Beach,541330,Architectural and engineering services,204,Reduction,9/1/2012 12:00:00 AM,10/1/2012 12:00:00 AM
American Airlines,Loudoun County,481111,Airline and related services,48,Reduction,9/1/2012 12:00:00 AM,11/1/2012 12:00:00 AM
ITT Exelis,Roanoke County,333314,Manufactures night-vision enhancing equipment,201,Reduction,9/1/2012 12:00:00 AM,10/1/2012 12:00:00 AM
"Masterbrand Cabinets, Inc.",Henry County,337110,Wood kitchen cabinets,345,Closing,8/1/2012 12:00:00 AM,8/1/2012 12:00:00 AM
Dove Vinyl Windows,Pulaski County,326121,Manufactures vinyl windows,52,Closing,8/1/2012 12:00:00 AM,8/1/2012 12:00:00 AM
GenOn Energy,Alexandria,221112,Coal-fired electric power plant,49,Closing,8/1/2012 12:00:00 AM,10/1/2012 12:00:00 AM
"G4S Government Solutions, Inc.",Fairfax County,561612,Government contractor for professional security services,98,Reduction,8/1/2012 12:00:00 AM,9/1/2012 12:00:00 AM
"G4S Government Solutions, Inc.",Prince George County,561612,Government contractor for professional security services,68,Reduction,8/1/2012 12:00:00 AM,9/1/2012 12:00:00 AM
Golden Living,Chesterfield County,561440,Billing center,42,Closing,8/1/2012 12:00:00 AM,10/1/2012 12:00:00 AM
"U.S. Solutions Group, Inc.",Bristol,561422,Call center,162,Closing,8/1/2012 12:00:00 AM,10/1/2012 12:00:00 AM
"U.S. Solutions Group, Inc.",Washington County,561422,Call center,156,Closing,8/1/2012 12:00:00 AM,10/1/2012 12:00:00 AM
Regional Elite,Roanoke City,488119,Provides ground handling and customer service for regional carrier flights,38,Closing,8/1/2012 12:00:00 AM,10/1/2012 12:00:00 AM
General Dynamics Land Systems,Prince William County,336992,Military amphibious vehicles,44,Reduction,8/1/2012 12:00:00 AM,10/1/2012 12:00:00 AM
Aer Lingus*,Loudoun County,481111,Airline,62,Reduction,8/1/2012 12:00:00 AM,10/1/2012 12:00:00 AM
Snagajob.com,Henrico County,551114,HQ; National online job search portal,17,Reduction,8/1/2012 12:00:00 AM,8/1/2012 12:00:00 AM
Media General,Richmond City,551114,Corporate office; newspapers and publications,75,Reduction,7/1/2012 12:00:00 AM,7/1/2012 12:00:00 AM
"BAE Systems, Inc.*",Newport News,541512,Technology solutions and services; defense contractor,76,Reduction,7/1/2012 12:00:00 AM,8/1/2012 12:00:00 AM
"IAP Worldwide Services, Inc.",Fairfax County,561210,Base operation support,185,Reduction,6/1/2012 12:00:00 AM,6/1/2012 12:00:00 AM
Federal-Mogul Corp.,Winchester,336350,Manufactures antifriction engine and replacement bearings,129,Closing,6/1/2012 12:00:00 AM,1/1/2013 12:00:00 AM
Exxon Mobil,Fairfax County,551114,"Management office for oil refinery, government relations and other operations",2100,Closing,6/1/2012 12:00:00 AM,3/1/2014 12:00:00 AM
"Genworth Financial, Inc.",Henrico County,524113,"HQ, life and long-term care insurance",40,Reduction,5/1/2012 12:00:00 AM,5/1/2012 12:00:00 AM
"Genworth Financial, Inc.",Lynchburg,524113,Life and long-term care insurance,30,Reduction,5/1/2012 12:00:00 AM,5/1/2012 12:00:00 AM
Northrop Grumman Technical Services,Newport News,561210,Operation of the food service halls and vehicle maintenance,130,Reduction,5/1/2012 12:00:00 AM,6/1/2012 12:00:00 AM
"Daily Press, The",Newport News,511110,Newspaper,80,Reduction,5/1/2012 12:00:00 AM,7/1/2012 12:00:00 AM
Sennett Security Products,Fairfax County,322299,Security printing,50,Closing,5/1/2012 12:00:00 AM,7/1/2012 12:00:00 AM
Golden West Foods Inc. (Brooks Food Group),Bedford County,311412,Frozen specialty foods,119,Closing,5/1/2012 12:00:00 AM,6/1/2012 12:00:00 AM
Brooks Food Group,Bedford County,311412,Frozen specialty foods,119,Closing,5/1/2012 12:00:00 AM,5/1/2012 12:00:00 AM
"TRG Customer Solutions, Inc.*",Hampton,561422,Multi-channel inbound and outbound communications,371,Reduction,4/1/2012 12:00:00 AM,4/1/2012 12:00:00 AM
Delphinus Engineering,Chesapeake,541330,Engineering services,46,Reduction,4/1/2012 12:00:00 AM,4/1/2012 12:00:00 AM
Serco Inc.*,Fairfax County,551114,North American HQ; Provides services to the federal government,58,Reduction,4/1/2012 12:00:00 AM,4/1/2012 12:00:00 AM
Bay Bridge Enterprises*,Chesapeake,423930,Ship dismantling & recycling,50,Closing,3/1/2012 12:00:00 AM,3/1/2012 12:00:00 AM
Video Gaming Technologies Inc.,Greene County,541511,"Electronic bingo, poker, and blackjack casino game developer",218,Closing,3/1/2012 12:00:00 AM,10/1/2012 12:00:00 AM
"Luke & Associates, Inc.",Hampton,561320,"Provides healthcare services and ancillary support services at military and government clinics, hospitals and medical centers",182,Reduction,3/1/2012 12:00:00 AM,5/1/2012 12:00:00 AM
QVC Inc.,Chesapeake,561422,"Call center, home-shopping network",602,Reduction,3/1/2012 12:00:00 AM,4/1/2013 12:00:00 AM
Hanover Direct,Roanoke County,423990,"Distribution center, catalog orders",189,Closing,2/1/2012 12:00:00 AM,4/1/2012 12:00:00 AM
"CCC Transportation, LLC",New Kent County,484121,Short-haul and regional appointment-oriented hauling,74,Closing,2/1/2012 12:00:00 AM,4/1/2012 12:00:00 AM
General Dynamics Land Systems,Prince William County,336992,Military amphibious vehicles,44,Reduction,2/1/2012 12:00:00 AM,4/1/2012 12:00:00 AM
Modea Corp.,Montgomery County,541810,HQ; Designs product-focused media; advertising agency,25,Reduction,2/1/2012 12:00:00 AM,2/1/2012 12:00:00 AM
SIMOS Insourcing Solutions,Chesapeake,541614,Labor management solutions,135,Reduction,2/1/2012 12:00:00 AM,4/1/2012 12:00:00 AM
LightSquared Inc.,Fairfax County,551114,HQ; wireless broadband network,123,Reduction,2/1/2012 12:00:00 AM,2/1/2012 12:00:00 AM
Lockheed Martin Information Systems & Global Solutions,Hampton,541512,Information technology solutions,65,Reduction,2/1/2012 12:00:00 AM,4/1/2012 12:00:00 AM
ATK Aerospace Systems,Hampton,541330,Provides aerodynamics/aerothermodynamics engineering services to NASA/Langley Research Center,124,Reduction,2/1/2012 12:00:00 AM,4/1/2012 12:00:00 AM
ITT Exelis,Roanoke County,333314,Manufactures night-vision enhancing equipment,375,Reduction,1/1/2012 12:00:00 AM,1/1/2012 12:00:00 AM
"Daily Press, The",Newport News,511110,Newspaper,30,Reduction,1/1/2012 12:00:00 AM,1/1/2012 12:00:00 AM
Bluefield Beverage,Tazewell County,312111,Soft drinks and bottled water,107,Closing,1/1/2012 12:00:00 AM,4/1/2012 12:00:00 AM
Potomac Supply Corp.,Westmoreland County,321113,Building-supply manufacturing; sawmill,98,Reduction,1/1/2012 12:00:00 AM,1/1/2012 12:00:00 AM
"QinetiQ North America, Inc.*",Fairfax County,541512,Provides technology solutions,180,Reduction,1/1/2012 12:00:00 AM,2/1/2012 12:00:00 AM
Pitney Bowes,Chesapeake,561422,Call center,64,Closing,12/1/2011 12:00:00 AM,6/1/2012 12:00:00 AM
Bristol Compressors International,Washington County,333912,"Compressors; air conditioning, heating",250,Reduction,12/1/2011 12:00:00 AM,12/1/2011 12:00:00 AM
PAETEC,Henrico County,517110,Telecommunications services,70,Reduction,12/1/2011 12:00:00 AM,3/1/2012 12:00:00 AM
Potomac Supply Corp.,Westmoreland County,321113,Building-supply manufacturing; sawmill,57,Reduction,12/1/2011 12:00:00 AM,1/1/2012 12:00:00 AM
Dillan Chenille*,Martinsville,313112,Chenille and textured yarn,15,Closing,12/1/2011 12:00:00 AM,10/1/2011 12:00:00 AM
"Smithfield Packing Company, Inc.",Portsmouth,311612,Produces hot dogs and lunchmeat,425,Closing,11/1/2011 12:00:00 AM,1/1/2013 12:00:00 AM
BASF Corp.*,Suffolk,325211,Acrylic-based superabsorbent polymers,45,Reduction,11/1/2011 12:00:00 AM,1/1/2012 12:00:00 AM
"MV Transportation, Inc.",Norfolk,485991,"Private provider of paratransit services, contract transportation services",62,Reduction,10/1/2011 12:00:00 AM,12/1/2011 12:00:00 AM
RockTenn Co.,Henry County,322211,Manufactures corrugated and consumer packaging and recycling solutions,110,Closing,10/1/2011 12:00:00 AM,12/1/2011 12:00:00 AM
Quad/Graphics Inc.,Henrico County,323111,Prints newspaper retail advertising,126,Closing,10/1/2011 12:00:00 AM,12/1/2011 12:00:00 AM
Berry Plastics Corp.,Henrico County,326160,Plastic bottles,123,Closing,10/1/2011 12:00:00 AM,1/1/2012 12:00:00 AM
Genie Company,Page County,335999,Garage door opening systems,92,Closing,10/1/2011 12:00:00 AM,5/1/2012 12:00:00 AM
Tru Kut Door Co.,Rockingham County,321911,Door manufacturing,11,Closing,10/1/2011 12:00:00 AM,10/1/2011 12:00:00 AM
Artemiss LLC,Newport News,454111,Catalog and internet retailer; distribution and order fulfillment; women's clothing,66,Closing,9/1/2011 12:00:00 AM,11/1/2011 12:00:00 AM
U.S. Smokeless Tobacco Co.,York County,312229,Manufactures smokeless tobacco products,41,Closing,8/1/2011 12:00:00 AM,10/1/2011 12:00:00 AM
Global Contact Services,Smyth County,561422,"Call center, financial and insurance services",80,Closing,8/1/2011 12:00:00 AM,10/1/2011 12:00:00 AM
Ceridian Corporation,Arlington County,541612,"Provides human resource, benefits and payment solutions",58,Closing,8/1/2011 12:00:00 AM,10/1/2011 12:00:00 AM
INOVA Health System,Manassas,561210,"Environmental services, laundry, referral management and scheduling services for hospital",143,Reduction,8/1/2011 12:00:00 AM,11/1/2011 12:00:00 AM
MCG Capital Corporation,Arlington County,523930,HQ; provides capital and advisory services,27,Reduction,8/1/2011 12:00:00 AM,8/1/2011 12:00:00 AM
Duro Bag Manufacturing Co.,Richmond City,322224,Manufactures paper bags,166,Closing,7/1/2011 12:00:00 AM,12/1/2011 12:00:00 AM
DRS Technologies*,Fairfax County,541512,Technical Services business unit; defense technologies,16,Layoff,7/1/2011 12:00:00 AM,10/1/2011 12:00:00 AM
American Press Inc.,Orange County,323119,Magazine and catalog printing,123,Closing,6/1/2011 12:00:00 AM,8/1/2011 12:00:00 AM
General Dynamics Information Technology,Prince George County,541512,"Provides information technology, systems engineering and professional services",10,Reduction,6/1/2011 12:00:00 AM,9/1/2011 12:00:00 AM
Wells Fargo & Company,Roanoke County,561422,Call center; customer service,59,Reduction,6/1/2011 12:00:00 AM,8/1/2011 12:00:00 AM
"Foot Levelers, Inc.",Roanoke City,339113,Custom-made shoe orthotics,20,Reduction,6/1/2011 12:00:00 AM,6/1/2011 12:00:00 AM
Gates Corporation*,Washington County,336399,Hydraulic systems for industrial equipment and vehicles,146,Closing,6/1/2011 12:00:00 AM,9/1/2011 12:00:00 AM
Clinch Mountain Hardwood Flooring,Russell County,321918,Hardwood flooring,25,Closing,6/1/2011 12:00:00 AM,6/1/2011 12:00:00 AM
Yusen Logistics (Americas) Inc.*,Chesapeake,488510,"Freight forwarding, transportation solutions, warehousing",96,Closing,5/1/2011 12:00:00 AM,7/1/2011 12:00:00 AM
New Breed,Warren County,541614,"Supply chain network solutions, logistics",79,Closing,5/1/2011 12:00:00 AM,7/1/2011 12:00:00 AM
"StarTek, Inc.",Henry County,561422,"Call center, customer services",631,Closing,5/1/2011 12:00:00 AM,7/1/2011 12:00:00 AM
Packet360,Henrico County,541512,Technology consulting and systems integration,50,Closing,5/1/2011 12:00:00 AM,5/1/2011 12:00:00 AM
RCN Corp.,Fairfax County,517110,Telecommunication services,33,Reduction,5/1/2011 12:00:00 AM,7/1/2011 12:00:00 AM
Georgia-Pacific Corp.,Greensville County,321219,Oriented strandboard,105,Reduction,5/1/2011 12:00:00 AM,7/1/2011 12:00:00 AM
Northrop Grumman Technical Services,Suffolk,541512,Technical support at the U.S. Joint Forces Command,32,Reduction,4/1/2011 12:00:00 AM,5/1/2011 12:00:00 AM
Canusa Hershman Recycling Company,Prince William County,423930,"Recycles, distributes, processes secondary fiber, plastics, and other materials",86,Reduction,4/1/2011 12:00:00 AM,6/1/2011 12:00:00 AM
Aircraft Service International Group*,Arlington County,488111,Commercial aviation services,86,Reduction,4/1/2011 12:00:00 AM,6/1/2011 12:00:00 AM
AREVA NP Inc.*,Lynchburg,332410,U.S. HQ; Nuclear power products and services,11,Reduction,3/1/2011 12:00:00 AM,4/1/2011 12:00:00 AM
GTSI Corp.,Fairfax County,541512,HQ; IT services; government contractor,83,Reduction,3/1/2011 12:00:00 AM,3/1/2011 12:00:00 AM
Muller Martini Manufacturing Corp.*,Newport News,333293,Manufactures bookbinding equipment,160,Closing,2/1/2011 12:00:00 AM,1/1/2012 12:00:00 AM
Northrop Grumman Technical Services,Suffolk,541512,Technical support at the U.S. Joint Forces Command,293,Reduction,2/1/2011 12:00:00 AM,4/1/2011 12:00:00 AM
Lockheed Martin,Fairfax County,541512,Information systems and global services,45,Reduction,2/1/2011 12:00:00 AM,4/1/2011 12:00:00 AM
United Litho Inc.,Loudoun County,323111,Magazine printing plant,80,Closing,1/1/2011 12:00:00 AM,7/1/2011 12:00:00 AM
"Genworth Financial, Inc.",Henrico County,524113,HQ; Life and long-term care insurance,130,Reduction,1/1/2011 12:00:00 AM,3/1/2011 12:00:00 AM
"Smithfield Packing Company, Inc.",Isle of Wight County,311612,Smoked hams & fatback,53,Reduction,1/1/2011 12:00:00 AM,3/1/2011 12:00:00 AM
"StarTek, Inc.",Lynchburg,561422,"Call center, customer services",69,Reduction,1/1/2011 12:00:00 AM,3/1/2011 12:00:00 AM
"NCO Financial Systems, Inc.",Hampton,561440,Provides customer service/collections services,368,Reduction,12/1/2010 12:00:00 AM,12/1/2010 12:00:00 AM
Northrop Grumman Technical Services,Newport News,561210,"Provides base operations and infrastructure support, training and simulation",148,Reduction,12/1/2010 12:00:00 AM,2/1/2011 12:00:00 AM
"Thomasville Furniture Industries, Inc.",Appomattox County,337122,Manufactures furniture,171,Closing,11/1/2010 12:00:00 AM,3/1/2011 12:00:00 AM
"Richmond Cold Storage Company, LLC",Suffolk,493120,Refrigerated warehousing and storage,108,Reduction,11/1/2010 12:00:00 AM,12/1/2010 12:00:00 AM
Covance Inc.,Fairfax County,621511,Toxicology laboratory,223,Reduction,11/1/2010 12:00:00 AM,1/1/2011 12:00:00 AM
Biovail Technologies Ltd.*,Fairfax County,541710,Pharmaceutical research and development,54,Closing,11/1/2010 12:00:00 AM,1/1/2011 12:00:00 AM
"Quad/Graphics, Inc.",Spotsylvania County,541860,Direct mail,312,Closing,11/1/2010 12:00:00 AM,2/1/2011 12:00:00 AM
EverDrive,Chesterfield County,423120,Used auto parts distribution,100,Closing,11/1/2010 12:00:00 AM,11/1/2010 12:00:00 AM
"Wellborn Cabinet, Inc.",Smyth County,337110,Manufactures wood cabinet components,26,Closing,11/1/2010 12:00:00 AM,1/1/2011 12:00:00 AM
Northrop Grumman Technical Services,Newport News,561210,"Provides base operations and infrastructure support, training and simulation",164,Reduction,10/1/2010 12:00:00 AM,12/1/2010 12:00:00 AM
International Automotive Components Group,Russell County,336360,Automotive interior systems,113,Closing,9/1/2010 12:00:00 AM,12/1/2010 12:00:00 AM
Smurfit-Stone Container Corp.,Henrico County,322211,Manufactures corrugated containers,83,Closing,9/1/2010 12:00:00 AM,10/1/2010 12:00:00 AM
Lockheed Martin,Fairfax County,541512,Information systems and global services,59,Reduction,9/1/2010 12:00:00 AM,10/1/2010 12:00:00 AM
Colfax Corporation,Chesterfield County,551114,HQ; industrial pumps and valves,20,Closing,9/1/2010 12:00:00 AM,1/1/2011 12:00:00 AM
Travelers Indemnity Company,Chesterfield County,524126,Insurance,88,Reduction,9/1/2010 12:00:00 AM,9/1/2010 12:00:00 AM
Western Refining Inc.,York County,324110,Oil refinery,330,Closing,8/1/2010 12:00:00 AM,9/1/2010 12:00:00 AM
Aquatic,Halifax County,326191,"Manufactures bathtubs, whirlpools, and shower stalls",40,Reduction,8/1/2010 12:00:00 AM,8/1/2010 12:00:00 AM
Raytheon Company,Hampton,541512,Information technology services for NASA,82,Reduction,8/1/2010 12:00:00 AM,10/1/2010 12:00:00 AM
Northrop Grumman Technical Services,Accomack County,561210,"Provides base operations and infrastructure support, training and simulation",169,Reduction,8/1/2010 12:00:00 AM,10/1/2010 12:00:00 AM
Shorewood Packaging Corp.,Newport News,322212,Printed paperboard cartons,35,Closing,7/1/2010 12:00:00 AM,10/1/2010 12:00:00 AM
Mid-Atlantic Coca-Cola Bottling Company,Charlottesville,424490,"Distribution, soft drinks",42,Closing,7/1/2010 12:00:00 AM,9/1/2010 12:00:00 AM
Rubatex International L.L.C.*,Bedford County,326291,Manufactures closed cell rubber products,60,Closing,7/1/2010 12:00:00 AM,6/1/2010 12:00:00 AM
SAIC,Alexandria,541512,IT consulting,90,Reduction,6/1/2010 12:00:00 AM,7/1/2010 12:00:00 AM
General Electric Company,Winchester,335110,Incandescent light bulbs,196,Closing,6/1/2010 12:00:00 AM,9/1/2010 12:00:00 AM
Capps Shoe Company,Pittsylvania County,316213,Shoes,40,Reduction,6/1/2010 12:00:00 AM,6/1/2010 12:00:00 AM
Bank of America Corp.,Richmond City,522110,Banking services; card collections,135,Reduction,5/1/2010 12:00:00 AM,8/1/2010 12:00:00 AM
"Stanley Furniture Company, Inc.",Henry County,337122,Wood furniture,530,Closing,5/1/2010 12:00:00 AM,12/1/2010 12:00:00 AM
