Company Name,Location,NAICS,Business Description,Month Announced,New/Expansion,New Jobs,Investment (MM$)
DAO Group,Virginia Beach,541512,Full service computer systems company,4/19/2017 12:00:00 AM,E,25,1
Spectrum Brands,Montgomery County,327212,"Pet, Home & Garden division of consumer products manufacturer",4/19/2017 12:00:00 AM,E,0,7.2817
Ragged Branch Distillery,Albemarle County,312140,Craft spirits distillery,4/19/2017 12:00:00 AM,N,4,0.225
Global Technical Systems,Virginia Beach,333611,HQ; Manufacturer of electro-mechanical batteries,4/19/2017 12:00:00 AM,E,21,4.1
Alorica,Spotsylvania County,561422,Call center expansion to support Comcast call services,4/17/2017 12:00:00 AM,E,200,0
"Phoenix Packaging Operations, LLC*",Pulaski County,326112,North America HQ; Manufacturer of rigid plastic containers for the global food and beverage industry,4/12/2017 12:00:00 AM,E,145,48.7053
"Universal Dynamics, Inc. *",Spotsylvania County,333220,Manufacturer of machinery for the plastics industry,4/12/2017 12:00:00 AM,E,80,2
MGM Technology Partners*,Arlington County,511210,Developer of supply chain management software,4/10/2017 12:00:00 AM,N,45,0
Bloomberg BNA,Arlington County,551114,Subsidiary HQ; Provider of legal and tax information for compliance professionals,4/10/2017 12:00:00 AM,E,125,5.5
"Numbers Place, Inc.",Fairfax County,541511,IT services provider,4/5/2017 12:00:00 AM,E,44,0.1
Atlantic Constructors,Chesterfield County,332312,"Ductwork, piping, plumbing and steelwork fabrication facility",4/3/2017 12:00:00 AM,E,0,3
American Institute for Cancer Research,Arlington County,551114,Headquarters for research and social advocacy organization,4/3/2017 12:00:00 AM,N,35,0
Loan Care LLC,Virginia Beach,522291,Corp HQ; consumer loan processing,4/3/2017 12:00:00 AM,E,100,0.1
Fairlead Boatworks,Newport News,336611,Ship building and repairing,4/3/2017 12:00:00 AM,E,25,1.5
The Cadmus Group,Arlington County,541618,Multidisciplinary consulting services,4/1/2017 12:00:00 AM,E,80,0
Lidl Dienstleistung GmbH*,Hampton,611430,Grocery store training facility,3/31/2017 12:00:00 AM,E,10,0.26
American Association for Homecare,Arlington County,813920,HQ; Homecare industry advocacy group,3/31/2017 12:00:00 AM,N,16,0
"Anglicotech, LLC",Arlington County,541512,Computer systems design services,3/31/2017 12:00:00 AM,N,13,0
"AnaVation, LLC",Fairfax County,518210,Big data analytics,3/31/2017 12:00:00 AM,E,30,0
"C2 Technologies, Inc.",Fairfax County,541512,Information Technology,3/31/2017 12:00:00 AM,E,20,0
Carahsoft Technology Corp.,Fairfax County,541512,Information technology solutions for government,3/31/2017 12:00:00 AM,E,300,0
Helix Electric,Fairfax County,541330,Electrical engineering services,3/31/2017 12:00:00 AM,E,416,0
"Management Concepts, Inc.",Fairfax County,541611,Business management consulting,3/31/2017 12:00:00 AM,E,10,0
Riza Cloud Solutions,Fairfax County,518210,Cloud services provider,3/31/2017 12:00:00 AM,E,25,0
"Tier One Analytics, Inc.",Fairfax County,518210,Marketing analytics and public relations,3/31/2017 12:00:00 AM,N,10,0
"Verato, Inc",Fairfax County,518210,Provider of cloud-based identity verification and matching solutions,3/31/2017 12:00:00 AM,E,22,0
Blue Ridge Fiberboard,Danville,321219,Fiberboard manufacturing,3/30/2017 12:00:00 AM,E,26,2.1455
Shamrock Farms,Augusta County,311511,Expansion of dairy manufacturing facility,3/29/2017 12:00:00 AM,E,78,43.9
People's Income Tax,Henrico County,541213,HQ; Tax preparation services,3/27/2017 12:00:00 AM,E,30,0.44
Atlantic Core Building Products,Chesapeake,332323,Manufacturer of steel commercial construction materials,3/23/2017 12:00:00 AM,N,50,3
"Bassett Furniture Industries, Inc.",Henry County,337121,Furniture manufacturer expansion,3/23/2017 12:00:00 AM,E,22,1.5
Allfirst LLC,Suffolk,236220,HQ; Industrial contractor and metal fabricator,3/21/2017 12:00:00 AM,E,27,0.13
Knowland,Arlington County,518210,Market analytics and lead generation,3/20/2017 12:00:00 AM,N,81,0
"Hershey Chocolate of Virginia, Inc.",Augusta County,311351,Manufacturer of chocolate and confectionary products,3/15/2017 12:00:00 AM,E,69,26.8
Sonalysts,Stafford County,541511,"Software publisher, custom IT",3/15/2017 12:00:00 AM,E,10,0.195
"Kingfisher Systems, Inc",Stafford County,541512,"Cybersecurity, Itnetwork engineering",3/15/2017 12:00:00 AM,N,25,0.2968
MLT Systems,Stafford County,541330,Systems engineering and logistics,3/13/2017 12:00:00 AM,E,20,0.35
Milby Company,Stafford County,423830,Water systems wholesaler,3/13/2017 12:00:00 AM,N,10,0.3
Atarfil SL*,Suffolk,326199,Manufacturer of thermoplastic geomembranes,3/9/2017 12:00:00 AM,N,15,5.1391
Luminary Air Group,Accomack County,336413,Manufactures acoustic and thermal insulation systems for aircraft,3/8/2017 12:00:00 AM,N,15,1.2
84 Lumber,Frederick County,321214,Truss manufacturing operation,3/7/2017 12:00:00 AM,E,100,3.9
"SteelFab, Inc.",Emporia,332312,Structural steel fabrication,3/2/2017 12:00:00 AM,E,18,2.1446
National Waste & Recycling Association (NW&RA),Arlington County,813910,HQ; Business advocacy organization,3/2/2017 12:00:00 AM,N,25,0
Symplicity Corporation,Arlington County,541511,Developer of CRM and workflow management software,3/1/2017 12:00:00 AM,E,10,0
Ruffalo Noel Levitz LLC,Arlington County,561990,Consulting for institutions of higher education,3/1/2017 12:00:00 AM,N,48,0
MicroXact,Pulaski County,334516,Designs and manufactures standard and specialty probe,3/1/2017 12:00:00 AM,E,7,1
Munters Corporation*,Buena Vista,333415,Manufacturer of energy recovery systems,2/28/2017 12:00:00 AM,E,100,2.5
Filibuster Distillery,Shenandoah County,312140,Distillery,2/28/2017 12:00:00 AM,E,8,0.795
Bad Wolf Brewing,Manassas,312210,Brewery,2/28/2017 12:00:00 AM,E,2,0.2075
America Rising Corp,Arlington County,813940,HQ; Political organization,2/27/2017 12:00:00 AM,N,64,0
"Qualtrax, Inc.",Montgomery County,541511,Creator of compliance software,2/23/2017 12:00:00 AM,E,35,2
TemperPack,Richmond City,321219,Manufacturer of sustainable packaging technology,2/22/2017 12:00:00 AM,E,23,2
Pryor Marking Ltd.*,Hanover County,333249,"Manufacturer of marking machinery for the aerospace, pharmaceutical, and nuclear energy industries.",2/22/2017 12:00:00 AM,N,10,0
"Wal-Mart Stores, Inc.",Rockingham County,493110,Distribution center,2/21/2017 12:00:00 AM,E,123,6
STIHL*,Virginia Beach,333991,NA HQ; Manufacturer of power tools,2/21/2017 12:00:00 AM,E,0,2.78
U-Play*,Virginia Beach,322291,"Manufacturer of wet wipes, incontinence pads, and puppy training pads",2/21/2017 12:00:00 AM,N,38,4.9
Grocery Manufacturer's Association,Arlington County,813910,HQ; Business advocacy group,2/20/2017 12:00:00 AM,N,170,0
Jemison Metals,Amherst County,331221,Manufacturer of carbon flat-rolled metals,2/16/2017 12:00:00 AM,E,5,1.75
Owens & Minor,Richmond City,561110,Customer engagement and back office operations center,2/16/2017 12:00:00 AM,N,300,15
Global Guardian,Fairfax County,561612,Security and technology,2/15/2017 12:00:00 AM,E,22,0.375
Ace Hardware Corp.,Suffolk,493110,Import redistribution center for East Coast stores,2/13/2017 12:00:00 AM,E,15,10.4
Atlantis Project,Arlington County,611710,Arranges fellowships abroad for pre-med students,2/10/2017 12:00:00 AM,E,17,0
Iomaxis,Fairfax County,541511,Cybersecurity company,2/9/2017 12:00:00 AM,E,555,2.475
idX Corporation,Spotsylvania County,321999,Manufacturer of consumer environments,2/7/2017 12:00:00 AM,N,150,7.2
Claxton Logistics,Stafford County,541611,Provider of logistics support and supply chain management,2/3/2017 12:00:00 AM,E,4,0.175
Steel Dynamics Roanoke Bar Division,Roanoke City,331110,Steel production and metal recycling,2/2/2017 12:00:00 AM,E,0,28
"Nestlé USA, Inc.*",Arlington County,551114,Headquarters for Nestle USA,2/1/2017 12:00:00 AM,N,748,39.8
Diligent Corporation,Arlington County,511210,Software publishers,2/1/2017 12:00:00 AM,N,18,0
Divaris,Virginia Beach,531210,HQ; East Coast commercial real estate development and services,2/1/2017 12:00:00 AM,E,17,0.47
Winchester Metals Inc.,Frederick County,332312,"Steel distribution, processing, and fabrication",1/31/2017 12:00:00 AM,E,0,0.14
"Dulles Glass and Mirror, Inc.",Prince William County,327215,Custom glass fabrication and distribution,1/26/2017 12:00:00 AM,E,40,7.5
Vorsight,Arlington County,518210,Data analytics and lead generation,1/25/2017 12:00:00 AM,E,112,0.1057
Black Narrows Brewing Company,Accomack County,312120,Craft brewery,1/25/2017 12:00:00 AM,N,5,0.35
Society of Chemical Manufacturers & Affiliates (SCOMA),Arlington County,813910,HQ; Business advocacy organization,1/24/2017 12:00:00 AM,E,41,0
"Favor TechConsulting, LLC",Fairfax County,551114,HQ: IT services provider for public and private sector clients,1/23/2017 12:00:00 AM,E,1275,1.65
"Matbock Origins, LLC",Virginia Beach,315990,Manufacturer of military grade clothing and gear,1/17/2017 12:00:00 AM,E,5,0.66
"Stock Design and Machine, Inc.",Virginia Beach,332710,Full service CNC machine shop,1/17/2017 12:00:00 AM,E,0,0.97
Navy Federal Credit Union,Frederick County,522130,Services and support facility for world's largest credit union,1/11/2017 12:00:00 AM,E,1400,100
All Traffic Solutions (ATS),Fairfax County,551114,HQ; Provider of cloud-based traffic management solutions,1/10/2017 12:00:00 AM,N,86,0.1
The Chiedo Cos.,Harrisonburg,541511,Business IT and network support provider expanding to provide cybersecurity services,1/9/2017 12:00:00 AM,E,11,0
Knowledge Capital Associates,Stafford County,541611,"Research, analysis, applications",1/9/2017 12:00:00 AM,N,20,0.225
Whereoware,Fairfax County,425110,Digital marketing and web development agency,1/4/2017 12:00:00 AM,E,144,0.225
iMPREG International*,Henrico County,327212,Manufacturer of fiberglass reinforced liner systems for trenchless pipe rehabilitation,1/4/2017 12:00:00 AM,N,60,5.4
Risser Farms,Henrico County,115210,Process and wash duck eggs for distribution to food retailers,12/31/2016 12:00:00 AM,N,6,0.15
Cohere Technology,Fairfax County,541519,Software and technology services for public and private sector clients,12/31/2016 12:00:00 AM,E,30,0
Compusult Systems Inc.*,Fairfax County,541512,Geospatial software and technology provider,12/31/2016 12:00:00 AM,E,10,0
"FNH USA, LLC*",Fairfax County,541115,U.S. headquarters for firearms manufacturer,12/31/2016 12:00:00 AM,E,17,0
"PeopleNTech, LLC",Fairfax County,541512,Software development and consulting,12/31/2016 12:00:00 AM,E,10,0
"Trusted Concepts, Inc.",Fairfax County,541512,Provider of high-end IT services to federal and commercial clients,12/31/2016 12:00:00 AM,E,12,0
Blue Ridge Aquaculture,Henry County,311119,Fish feed mill,12/20/2016 12:00:00 AM,E,5,3.2
Chemonics,Arlington County,541611,International development consulting,12/15/2016 12:00:00 AM,N,100,1
Boeing Defense Space & Security,Arlington County,551114,Headquarters for Boeing Defense Space & Security,12/14/2016 12:00:00 AM,N,50,0.5
"Atlantic Bay Mortgage Group, LLC",Virginia Beach,522292,Hq; Mortgage lender,12/14/2016 12:00:00 AM,E,120,1
Canatal Steel USA*,Botetourt County,332312,Steel structure fabrication,12/14/2016 12:00:00 AM,E,38,1.5
TORC Robotics LLC,Montgomery County,541330,Control and navigation systems for unmanned vehicles and robotics,12/14/2016 12:00:00 AM,E,20,0.2
Novatech*,Henry County,332321,Window and door manufacturing,12/13/2016 12:00:00 AM,N,50,3
"Southeastern Container, Inc.",Frederick County,326160,Manufactures plastic bottles,12/13/2016 12:00:00 AM,E,0,2
"Peet's Coffee & Tea, Inc.*",Suffolk,311920,Food and beverage industry manufacturer,12/9/2016 12:00:00 AM,N,135,58.7996
Coalfire,Fairfax County,541618,Cybersecurity services,12/9/2016 12:00:00 AM,E,23,0.25
National Association of Corporate Directors (NACD),Arlington County,813920,Headquarters for national professional organization,12/8/2016 12:00:00 AM,N,110,3
"JTI Leaf Services, LLC*",Danville,493130,Tobacco leaf warehouse,12/8/2016 12:00:00 AM,E,0,8.57
"RagingWire Enterprise Solutions, Inc.*",Loudoun County,518210,Data center,12/5/2016 12:00:00 AM,E,0,160
"NorrisBuilt Fabrication, LLC",Norton,332312,Expansion of structural metal fabricator,12/5/2016 12:00:00 AM,E,14,0.25
American Woodmark Corp.,Frederick County,551114,Headquarters consolidation for bath and kitchen cabinetry manufacturer,12/1/2016 12:00:00 AM,E,55,30
Rivanna Natural Designs,Henrico County,321999,"Designs and builds a variety of awards using green, recycled wood, and bamboo products",11/30/2016 12:00:00 AM,N,9,0.325
"Wal-Mart Stores, Inc.",Dinwiddie County,493110,Distribution facility for retailer,11/29/2016 12:00:00 AM,E,75,4
Hollingsworth & Vose Company,Floyd County,313230,Non-woven media manufacturer,11/29/2016 12:00:00 AM,E,13,9.1
Intertape Polymer Group*,Pittsylvania County,325211,"Manufacturer of paper and film based pressure sensitive and water activated tapes, polyethylene and specialized polyolefin films, woven coated fabrics and complementary packaging systems for industrial and retail use.",11/28/2016 12:00:00 AM,E,0,22.01
Tri-Dim Filter Corp.,Louisa County,333412,Manufacturer of filters for commercial air handling units,11/17/2016 12:00:00 AM,E,0,0.7
Lidl Dienstleistung GmbH*,Chesterfield County,493120,Warehouse for grocery retailer,11/17/2016 12:00:00 AM,N,15,1
"Maximus, Inc.",Hampton,541611,Customer support center,11/15/2016 12:00:00 AM,N,189,1.8751
DP Facilities,Wise County,518210,Data center,11/14/2016 12:00:00 AM,N,40,65
Microsoft Corp.,Mecklenburg County,518210,Data center,11/9/2016 12:00:00 AM,E,44,251.59
Dominion Packaging,Henrico County,322211,"Provider of packaging solutions for food, tobacco, and beverage companies",11/8/2016 12:00:00 AM,E,60,25.1
BGB Technology Inc.*,Chesterfield County,335312,Manufacturer of fiber optic rotary joints,11/7/2016 12:00:00 AM,E,12,0.8
Columbia Gas of Virginia,Chesterfield County,221210,HQ; Training facility for natural gas utility,11/4/2016 12:00:00 AM,E,0,9
Dealwithit*,Henrico County,541611,Educational consulting,11/1/2016 12:00:00 AM,N,2,0
Erodex*,Henrico County,335991,Manufacture graphite electronic components,10/31/2016 12:00:00 AM,E,5,0.12
NPB Digital Bank,Russell County,522110,Digital customer service operations,10/31/2016 12:00:00 AM,E,35,2
CIRS Inc.,Norfolk,339113,"Headquarters, production, fabrication, and distribution center for biomedical manufacturer",10/31/2016 12:00:00 AM,E,15,5.3
"Mikro Systems, Inc.",Albemarle County,332212,Hand and edge tool manufacturing,10/31/2016 12:00:00 AM,E,38,1.55
Tech Wizards,King George County,541512,Modeling and simulation for system and software engineering for DoD clients,10/31/2016 12:00:00 AM,E,32,0.1
"Rock Wood Products of Dillwyn, Inc.",Buckingham County,321920,Sawmill for wood pallet manufacturing,10/27/2016 12:00:00 AM,E,12,8.75
"Blue Ridge Industries, Inc.",Frederick County,326199,Plastics manufacturing,10/25/2016 12:00:00 AM,E,0,2
CoStar Group,Richmond City,531390,Research and software development center for real estate information and analytics firm,10/24/2016 12:00:00 AM,N,732,8.17
Essel Propack America LLC*,Danville,331316,Aluminum tubing manufacturer,10/21/2016 12:00:00 AM,E,4,6
Endurance IT Services,Virginia Beach,541512,Headquarters for IT services company,10/19/2016 12:00:00 AM,E,62,0.05
"River Ridge Land and Cattle Company, LLC",Grayson County,311612,Beef and pork processing facility,10/12/2016 12:00:00 AM,E,11,2.1
OVH*,Fauquier County,518210,North American HQ and data center,10/6/2016 12:00:00 AM,N,54,47.528
Service Center Metals,Prince George County,331318,Manufacturer of aluminum extrusions,10/4/2016 12:00:00 AM,E,35,25
"AMPAC Fine Chemicals, LLC",Petersburg,325412,Manufactures active pharmaceutical ingredients,10/4/2016 12:00:00 AM,N,0,25
"A-Tek, Inc.",Fairfax County,541512,Information Technology,9/30/2016 12:00:00 AM,N,130,0
BizFlow Corporation,Fairfax County,511210,Software,9/30/2016 12:00:00 AM,E,13,0
"Counterpoint Consulting, Inc.",Fairfax County,511210,Software,9/30/2016 12:00:00 AM,E,14,0
CustomInk,Fairfax County,551114,Headquarters for custom screen printing company.,9/30/2016 12:00:00 AM,E,81,0
"Davis-Paige Management Systems, LLC",Fairfax County,541611,Government services,9/30/2016 12:00:00 AM,E,50,0
FDM Group Inc.*,Fairfax County,541512,IT services and consulting,9/30/2016 12:00:00 AM,N,250,0
Nutanix,Fairfax County,511210,Software,9/30/2016 12:00:00 AM,E,25,0
Prefered Systems Solutions (PSS),Fairfax County,541512,Information Technology,9/30/2016 12:00:00 AM,E,251,0
SecureAuth,Fairfax County,541511,Information Technology,9/30/2016 12:00:00 AM,E,25,0
Premier Fixtures,Henrico County,423440,Manufacturer and distributor of store fixtures,9/30/2016 12:00:00 AM,E,150,4.6
Strangeways Brewing,Fredericksburg,312120,Craft brewery,9/29/2016 12:00:00 AM,N,27,2.5
Glad Manufacturing Company,Amherst County,326111,Plastic bag manufacturing,9/28/2016 12:00:00 AM,E,83,20.6
TMI Autotech Inc.,Halifax County,336111,Manufacturer of Ariel Atom supercar and carbon-fiber composite autoparts,9/28/2016 12:00:00 AM,E,20,0.525
Jenzabar,Harrisonburg,541511,Software developer for higher education,9/27/2016 12:00:00 AM,E,30,1
"ST Tissue, LLC",Isle of Wight County,322121,"Manufacturer of tissue, towel, and napkin products from recycled materials",9/27/2016 12:00:00 AM,E,50,35
Ballad Brewing,Danville,312120,Craft brewery,9/27/2016 12:00:00 AM,N,2,1.5
Csi Packaging*,Henrico County,333922,Manufacturer of product handling equipment,9/26/2016 12:00:00 AM,N,20,0.32
West Creek Financial,Henrico County,522298,"Financing for furniture, appliance, and mattress retailers",9/22/2016 12:00:00 AM,E,30,0
ADP,Norfolk,541611,Back office operations,9/20/2016 12:00:00 AM,E,400,0
Architectural Graphics Inc.,Virginia Beach,339950,Interior and exterior sign manufacturing,9/20/2016 12:00:00 AM,E,45,0.75
Sunrise Global Marketing,Virginia Beach,493110,"Lawn, garden, and power tool distribution",9/20/2016 12:00:00 AM,N,25,0.229
"Anchor Innovation, Inc.",Virginia Beach,541611,Marine maintenance and consulting services for the U.S. Government and service organizations,9/20/2016 12:00:00 AM,E,15,0.825
Young Veteran's Brewing Company,Virginia Beach,312120,Brewery,9/20/2016 12:00:00 AM,E,5,0.7
Acent Laboratories,Hampton,541715,Aerospace Research,9/19/2016 12:00:00 AM,E,6,0.36
Lyft,Arlington County,551114,Mid-Atlantic regional headquarters for ride-sharing service,9/19/2016 12:00:00 AM,N,32,0.35
Kyocera SGS Precision Tool*,Danville,333515,"High performance end mill, drill, stainless steel medical tool, and coating manufacturer",9/8/2016 12:00:00 AM,N,35,9.5
Kno Corrosion LLC,Orange County,332117,Powder metallurgy part manufacturing,9/6/2016 12:00:00 AM,N,28,2.2
Electro-Luminx Lighting Corporation,Richmond City,335129,Manufactures electroluminescent lamps,9/2/2016 12:00:00 AM,E,26,0.2
T&E Meats,Harrisonburg,311611,Meat processing,9/1/2016 12:00:00 AM,E,7,0.6
Atlantic Red Crab Co.,Hampton,424460,Crabbing and Packing Operation,8/31/2016 12:00:00 AM,N,4,0.3
ICMA-RC,Richmond City,525110,Manages and administers retirement plans for public sector employers and employees,8/31/2016 12:00:00 AM,N,200,10
Port City Brewing,Alexandria,312120,Craft brewery,8/31/2016 12:00:00 AM,E,26,2.68
Bay Rivers Industrial,James City County,332312,Metal fabrication,8/31/2016 12:00:00 AM,E,19,0.875
"Hershey Chocolate of Virginia, Inc.",Augusta County,311351,New production line for confectionery manufacturer,8/26/2016 12:00:00 AM,E,0,16.9
Newport News Industrial Corp. (NNI),Newport News,332312,Steel fabrication for nuclear power plants,8/25/2016 12:00:00 AM,N,125,20
JK Moving & Storage,Loudoun County,484210,"HQ; Moving, storage, and relocation company",8/25/2016 12:00:00 AM,E,751,19
FCi Federal,Loudoun County,541611,Federal contractor supporting U.S. Citizenship and Immigration Services,8/25/2016 12:00:00 AM,E,100,1
"Speyside Bourbon Cooperage, Inc.*",Bath County,321920,Stave mill for craft beverage industry,8/25/2016 12:00:00 AM,N,30,5
Chaney Enterprises,Prince William County,327320,Concrete manufacturing plant,8/23/2016 12:00:00 AM,N,10,1
Intercede*,Fairfax County,541511,Cybersecurity,8/23/2016 12:00:00 AM,E,25,0.3
Appalachian Mountain Spirits,Smyth County,312140,Whiskey distillery,8/22/2016 12:00:00 AM,E,13,1.95
MillerCoors LLC,Rockingham County,312120,Brewery expansion,8/19/2016 12:00:00 AM,E,27,60
Infolock Technologies,Arlington County,541512,Information security consulting firm,8/18/2016 12:00:00 AM,E,14,0.2
Corrugated Container Corporation*,Frederick County,322211,Manufacturing corrugated and solid fiber boxes,8/18/2016 12:00:00 AM,E,15,5.1935
Innovative Millwork,Smyth County,337212,Millworking for the housing industry,8/18/2016 12:00:00 AM,E,20,1
AT&T Wireless,Russell County,561422,Customer service center,8/18/2016 12:00:00 AM,E,90,0
Excella Consulting,Arlington County,541512,IT consulting services,8/17/2016 12:00:00 AM,E,538,0.2038
Aptima,Arlington County,541512,Software design firm,8/16/2016 12:00:00 AM,N,20,0.1
ALDI US*,Dinwiddie County,493110,Division headquarters and distribution center,8/16/2016 12:00:00 AM,N,145,57
KO Distilling,Manassas,312140,Gin and whiskey distillery,8/16/2016 12:00:00 AM,E,6,0.675
Niagara Bottling LLC,Chesterfield County,312112,Water bottling and plastic bottle manufacturing,8/16/2016 12:00:00 AM,N,76,95.4401
Point One USA LLC,Virginia Beach,541618,Training for military and law enforcement professionals,8/16/2016 12:00:00 AM,E,6,1.05
STIHL Inc.*,Virginia Beach,333991,Manufactures outdoor power tools,8/15/2016 12:00:00 AM,E,0,0.0478
Applied Predictive Technologies,Arlington County,518210,Business data analytics,8/10/2016 12:00:00 AM,E,368,0
Consolidated Glass & Mirror,Galax,327211,Glass manufacturing facility,8/4/2016 12:00:00 AM,E,30,3
"Toray Plastics America, Inc.*",Warren County,326150,Manufacturer of plastic films and foams for the packaging and automotive industries,8/4/2016 12:00:00 AM,E,30,45
"Dollar Tree, Inc.",Chesapeake,551114,Headquarters for Fortune 200 discount retail company,8/3/2016 12:00:00 AM,E,600,110
Sinclair Broadcast Group Inc.,Arlington County,515120,Telecommunications and television broadcasting company,8/2/2016 12:00:00 AM,E,60,28.6712
Billsburg Brewery,James City County,312120,Craft brewery,7/31/2016 12:00:00 AM,N,1,1.4
Serpin Pharma LLC,Prince William County,541712,Biotech,7/31/2016 12:00:00 AM,E,5,0.3
"Notarize, Inc.",Arlington County,511210,Online notarization company,7/29/2016 12:00:00 AM,E,454,0.5
Confluence Coffee,Richmond City,311920,Specialty blend coffee roasters,7/29/2016 12:00:00 AM,E,33,0.1
Sykes,Buchanan County,561422,Call center,7/28/2016 12:00:00 AM,E,100,0
Cochrane USA*,Spotsylvania County,332323,Manufactures fences and security barriers,7/28/2016 12:00:00 AM,N,36,2.1
Center of the Universe,Hanover County,312120,Craft brewery,7/28/2016 12:00:00 AM,E,0,0.55
TAG Lumber Services,Winchester,321999,Drying and processing domestic and imported lumber,7/26/2016 12:00:00 AM,E,27,5
Command Strategies,Arlington County,541611,Business development services and government relations consulting,7/25/2016 12:00:00 AM,N,25,0.25
The Motley Fool,Alexandria,551114,HQ; Multimedia financial services company,7/25/2016 12:00:00 AM,E,60,5
Solid Stone Fabrics,Henry County,313230,Manufacturer and distributor of stretch fabrics,7/20/2016 12:00:00 AM,E,22,1.5
Taste,Virginia Beach,551114,Headquarters and warehouse for specialty food retailer,7/19/2016 12:00:00 AM,E,8,4.1
"BN Media Associates, LLC",Virginia Beach,551114,Headquarters for online media and retail company,7/19/2016 12:00:00 AM,E,15,0.535
"Hill Investment Group, LLC",Virginia Beach,551114,Corporate headquarters,7/19/2016 12:00:00 AM,E,30,1.4
Dominion Energy,Louisa County,221114,Solar farm,7/14/2016 12:00:00 AM,N,0,44.515
Dominion Energy,Isle of Wight County,221114,Solar farm,7/14/2016 12:00:00 AM,N,0,44.196
Dominion Energy,Powhatan County,221114,Solar farm,7/13/2016 12:00:00 AM,N,0,40.776
Overfinch*,Danville,336211,Land Rover upfitting and customization,7/12/2016 12:00:00 AM,N,41,1.9453
Microsoft Corp.,Virginia Beach,237130,Subsea fiber optic cable and data center,7/11/2016 12:00:00 AM,N,9,10
Phone2Action,Arlington County,541511,Develops fundraising and engagement tools for non-profit organizations,7/7/2016 12:00:00 AM,N,142,0.15
SANJO Corte Fino*,Virginia Beach,332119,"Produces components with fineblanking and heat treatment processes, and performs final machining.",7/6/2016 12:00:00 AM,N,85,17.5
"A-Tek, Inc.",Fairfax County,541512,IT and management consulting company,7/6/2016 12:00:00 AM,N,10,0.2
Standard Insurance Company*,Campbell County,561422,Inbound call center for insurance company,7/5/2016 12:00:00 AM,N,178,1.7142
Precision Pipeline Solutions,Prince William County,221210,Gas utility infrastructure installation,6/30/2016 12:00:00 AM,N,263,5
"Telvista, Inc.*",Danville,561422,Call center,6/30/2016 12:00:00 AM,E,150,0
3Pillar Global,Fairfax County,541511,Information Technology,6/30/2016 12:00:00 AM,E,24,0
"Aderas, Inc.",Fairfax County,541511,Information Technology,6/30/2016 12:00:00 AM,E,10,0
Crypsis,Fairfax County,541511,Cybersecurity,6/30/2016 12:00:00 AM,E,10,0
"EdgeConneX, Inc.",Fairfax County,551114,Headquarters for data center management and wireless telecommunications company,6/30/2016 12:00:00 AM,E,10,0
Fulcrum Corporation,Fairfax County,541511,Information Technology,6/30/2016 12:00:00 AM,E,18,0
Insperity,Fairfax County,541612,HR Consulting,6/30/2016 12:00:00 AM,E,10,0
Juniper Networks,Fairfax County,541511,Information Technology,6/30/2016 12:00:00 AM,E,10,0
Vectrus,Fairfax County,541511,Information Technology,6/30/2016 12:00:00 AM,E,30,0
White64,Fairfax County,541810,Advertising firm,6/30/2016 12:00:00 AM,E,10,0
Yext,Fairfax County,518210,Social media,6/30/2016 12:00:00 AM,E,13,0
MODU Systems*,James City County,333922,Conveyor systems assembly,6/30/2016 12:00:00 AM,E,0,1
Dizzy Pig BBQ Company,Prince William County,311942,Food spice grinding and processing,6/30/2016 12:00:00 AM,E,0,3
Frontier Secure,Wise County,561422,Call center for telecommunications provider,6/29/2016 12:00:00 AM,N,500,0
"Virid, Inc.",Fairfax County,541512,Ecommerce solutions provider,6/29/2016 12:00:00 AM,E,21,0.5
Pacific Life,Lynchburg,561422,Financial and insurance services call center,6/24/2016 12:00:00 AM,N,300,3.6988
Direct Mail Solutions,Henrico County,541860,Full service mail shop,6/24/2016 12:00:00 AM,E,243,1
Back Bay Brewing,Virginia Beach,312120,Brewery expansion,6/23/2016 12:00:00 AM,E,0,1.4
TRW Automotive*,Smyth County,336330,Steering component manufacturing,6/23/2016 12:00:00 AM,E,60,9
Crane Mats,Russell County,321113,Manufacture wooden mats for construction,6/23/2016 12:00:00 AM,E,10,0.6
Mullican Flooring,Wise County,321113,Flooring manufacturer,6/23/2016 12:00:00 AM,E,0,2
Hudson Industries,Henrico County,326150,Foam cushion and mattress manufacturing for medical and consumer use,6/22/2016 12:00:00 AM,E,87,0.75
Blue Ridge Optics LLC,Bedford County,333314,Manufactures precision optical components and coatings,6/22/2016 12:00:00 AM,E,15,1
R1 International*,Richmond City,493110,Warehouse and distribution center for rubber products,6/21/2016 12:00:00 AM,E,15,1
Dominion Energy Virginia,Greensville County,221112,Natural gas-fired power station,6/21/2016 12:00:00 AM,E,44,1300
Sutherland Global Services,Chesapeake,541611,Consulting for the insurance industry,6/17/2016 12:00:00 AM,E,200,2.1688
"Alarm.com, Inc.",Fairfax County,541512,Wireless and web-enabled security technology,6/17/2016 12:00:00 AM,E,200,3
CTIIC,Fairfax County,928110,Coordinates intelligence concerning cyber threats,6/17/2016 12:00:00 AM,N,50,35
Grant Thornton LLP*,Arlington County,541211,Accounting and other professional services,6/16/2016 12:00:00 AM,E,348,15.75
Mountain Top Lumber,Wise County,321113,Manufacturing wood chips and mulch,6/16/2016 12:00:00 AM,E,7,0.4
