Company Name,Location,NAICS,Business Description,Month Announced,New/Expansion,New Jobs,Investment (MM$)
TQ Systeme*,Chesapeake,335312,Design and engineering firm for electronic subsystems and systems,8/1/2018 12:00:00 AM,N,20,0
Sabra Dipping Co.*,Chesterfield County,311941,Manufactures hummus and vegetable dips,7/31/2018 12:00:00 AM,E,12,0
"Sugar Hill Cidery, LLC",Norton,312120,Cidery,7/31/2018 12:00:00 AM,E,6,0.5
Press Glass*,Henry County,327211,Industrial flat glass manufacturing,7/30/2018 12:00:00 AM,N,212,43.55
Cascades Inc.*,Hanover County,322211,"Produces, converts, and markets packaging and tissue products composed mainly of recycled fibers",7/26/2018 12:00:00 AM,N,140,275.01
Packaging Corporation of America,Harrisonburg,322211,Corrugated packaging manufacturer,7/26/2018 12:00:00 AM,E,0,35.3
Aurora Flight Sciences,Manassas,541712,Develops and manufactures advanced unmanned systems and aerospace vehicles,7/26/2018 12:00:00 AM,E,135,13.75
Hermitage Hill Farm and Stables,Augusta County,312120,Farm brewery,7/23/2018 12:00:00 AM,E,7,0.5
Remington Mulch Company,Loudoun County,541320,"Supplies mulch, soils, and woodchips to landscapers and homeowners",7/20/2018 12:00:00 AM,E,30,6.5
"Speyside Bourbon Cooperage, Inc.*",Smyth County,321920,Stave mill for craft beverage industry,7/20/2018 12:00:00 AM,E,125,26
"Speyside Bourbon Cooperage, Inc.*",Washington County,321920,Stave mills for craft beverage industry,7/20/2018 12:00:00 AM,E,35,9
"Blue Ridge Optics, LLC",Bedford County,334510,Manufactures precision optical components and coatings,7/19/2018 12:00:00 AM,E,0,0.75
"Excivity, Inc.",Fairfax County,541511,A developer of custom software and hardware technologies,7/16/2018 12:00:00 AM,E,45,0.3921
"Reservoir International, LLC",Arlington County,541690,Security consulting and training,7/15/2018 12:00:00 AM,N,100,0
TORC Robotics,Montgomery County,541330,Control and navigation systems for unmanned vehicles and robotics,7/13/2018 12:00:00 AM,E,55,2
"Smyth Companies, Inc.",Bedford County,323111,Manufactures flat and pressure sensitive labels,7/12/2018 12:00:00 AM,E,0,6.5
SAIC,Richmond City,541512,"IT consulting, research, and engineering defense contractor",7/11/2018 12:00:00 AM,E,75,0
Auxiliary Systems Inc.,Norfolk,336611,An auxiliary system manufacturer for commercial and government clients in the marine industry,7/9/2018 12:00:00 AM,E,0,0.22
Vemo Education,Arlington County,522291,Educational technology,7/6/2018 12:00:00 AM,N,11,0
"Mountain Top Timber Products, LLC",Scott County,321113,Produces quality wood and wood chips for the paper industry,7/6/2018 12:00:00 AM,E,50,3.759
"AppGuard, LLC*",Fairfax County,541511,Cybersecurity,6/30/2018 12:00:00 AM,E,10,0
BDNet Corp.,Fairfax County,511210,IT consulting firm,6/30/2018 12:00:00 AM,E,2,0
"Contact Solutions, LLC",Fairfax County,541512,Develops software to assist with customer engagement,6/30/2018 12:00:00 AM,E,10,0
GoCanvas,Fairfax County,541511,Mobile platform that makes it easy for businesses to automate,6/30/2018 12:00:00 AM,E,35,0
"GS Industries of Bassett, Inc.",Henry County,326199,Plastic injection molded parts,6/29/2018 12:00:00 AM,E,3,0.4517
Altruista Health,Fairfax County,541511,Management solutions for health plans and providers,6/29/2018 12:00:00 AM,E,32,0
Gomocha,Fairfax County,541511,Develops platforms to improve mobile workforce performance,6/29/2018 12:00:00 AM,E,9,0
HyperJet Fusion Corporation,Fairfax County,541712,Development of a safe and clean approach to utility scale fusion energy,6/29/2018 12:00:00 AM,N,8,0
"Karthik Consulting, LLC",Fairfax County,541512,IT consulting firm,6/29/2018 12:00:00 AM,E,5,0
"n-ask, Inc.",Fairfax County,541330,Provides mission-focused solutions for the intelligence and defense communities,6/29/2018 12:00:00 AM,E,8,0
Paladion,Fairfax County,541512,Cyber security,6/29/2018 12:00:00 AM,E,7,0
Securitas Security Services USA*,Fairfax County,561612,Corporate security services,6/29/2018 12:00:00 AM,E,30,0
"SysNet Technologies, Inc.",Fairfax County,541512,IT consulting company,6/29/2018 12:00:00 AM,E,10,0
"Tensing USA, LLC*",Fairfax County,541512,Geographical Information System consulting,6/29/2018 12:00:00 AM,E,5,0
"Tiber Solutions, LLC",Fairfax County,541511,Data warehousing and analytics,6/29/2018 12:00:00 AM,E,5,0
Winvest Technology Consultancy Private Limited*,Fairfax County,541512,IT Solutions and Services,6/29/2018 12:00:00 AM,N,3,0
BitDam Ltd.*,Fairfax County,561621,Cyber Security,6/29/2018 12:00:00 AM,N,3,0
IMS Gear*,Virginia Beach,333612,Manufacturer of automotive equipment,6/28/2018 12:00:00 AM,E,0,1.05
Newport News Shipbuilding (HII),Newport News,336611,Shipbuilding and repair,6/26/2018 12:00:00 AM,E,2000,8.7455
CloudFit,Lynchburg,511210,"Company focuses on service management, held desk, and VIP software monitoring services.",6/26/2018 12:00:00 AM,N,139,0.491
Dominion Outsourcing LLC,Henrico County,561421,Expansion of client management center,6/25/2018 12:00:00 AM,E,190,0.37
Custom Panel & Controls LLC,Virginia Beach,238210,Electrical contractor servicing the marine and commercial industries,6/25/2018 12:00:00 AM,E,15,2.3
Magnets USA,Roanoke County,332999,Manufacturer of primarily magnetic and paper promotional products,6/21/2018 12:00:00 AM,E,0,1.5
"ComSonics, Inc.",Augusta County,334220,Manufactures electric test equipment and repair broadband equipment,6/20/2018 12:00:00 AM,E,34,0.615
"Discovery, Inc.",Loudoun County,541840,American media company and a worldwide leader in real life entertainment,6/14/2018 12:00:00 AM,E,240,16
"S & S Transporters, Inc.",Carroll County,484230,Provides dry and refrigerated freight transportation through out the country,6/8/2018 12:00:00 AM,E,20,5.25
"SchaeferRolls, Inc.*",Covington,326113,Producer of polymer-based roll covers,6/4/2018 12:00:00 AM,N,31,12.0838
New Ravenna,Northampton County,327120,"Designer and manufacturer of stone and glass mosaics for residential, commercial, and hospitality installations",6/1/2018 12:00:00 AM,E,31,0.8263
"Delta Pure Filtration, LLC",Hanover County,333319,Manufactures cartridge filtration solutions; standard and custom filters,5/31/2018 12:00:00 AM,E,18,2
Corenso North America Corporation*,Richmond City,322219,Manufactures paper cores for various industries,5/30/2018 12:00:00 AM,E,0,0.16
"Provides US, Inc.*",Augusta County,332410,"Researches, develops, and produces parts for the heat exchanger industry",5/29/2018 12:00:00 AM,E,20,0.897
"Homestead Building Systems, Inc.",Orange County,321214,"Custom manufacturer of wall panels, roof, and open floor trusses",5/29/2018 12:00:00 AM,E,60,2.45
The College Board,Fairfax County,611710,Nonprofit organization that develops and administers tests and curricula to promote college-readiness,5/22/2018 12:00:00 AM,E,120,15.4
TemperPack,Henrico County,321219,Manufacturer of sustainable packaging materials,5/21/2018 12:00:00 AM,E,141,10.4
"Apex Clean Energy, Inc.",Charlottesville,221115,Alternative Energy Development,5/21/2018 12:00:00 AM,E,90,0
